# {"t_start": 1557087784.92927, "env_id": "HumanoidStandup-v2"} 
r,l,t
40216.881197,1000,7.852092
37903.193518,1000,13.718758
42403.990815,1000,22.229514
36499.465151,1000,28.534396
39281.274624,1000,36.205245
38647.536938,1000,41.4401
38409.001227,1000,48.898175
37153.96073,1000,54.154059
46111.260236,1000,63.504489
39962.730371,1000,69.748723
40225.823497,1000,77.575632
41739.816319,1000,82.529523
40076.425829,1000,89.63854
39796.714793,1000,94.25551
50406.007515,1000,104.07248
37768.464617,1000,109.493212
47858.927188,1000,117.506008
41872.486616,1000,122.856161
47885.201475,1000,131.521559
43776.304473,1000,137.851643
50167.071244,1000,146.636379
40588.796493,1000,152.860751
44753.472876,1000,160.986847
38348.636065,1000,166.102812
42308.259467,1000,173.686465
42219.296503,1000,180.256208
44118.707295,1000,188.419327
44846.921783,1000,193.810345
44448.563769,1000,200.622364
46499.24923,1000,206.247041
41139.059117,1000,214.017659
45712.091314,1000,219.104252
44228.771901,1000,228.644627
46706.614988,1000,234.005352
44608.812585,1000,242.468916
59459.557844,1000,248.239322
47418.269377,1000,255.960033
50317.439284,1000,261.181241
46211.554419,1000,269.704424
48629.13126,1000,275.806532
50329.416289,1000,283.514724
47808.822235,1000,289.187932
50944.817198,1000,294.356008
54342.606647,1000,302.84993
52475.519792,1000,307.8096
69438.744973,1000,315.88021
56120.917292,1000,321.666529
50521.666486,1000,328.258275
56319.16523,1000,333.220645
47365.737734,1000,343.2002
70556.518123,1000,349.194851
44862.395428,1000,356.90272
58991.084082,1000,361.970395
70319.118823,1000,370.913366
63548.091449,1000,377.03423
57386.595319,1000,385.183538
61198.408245,1000,390.68557
58770.081546,1000,398.43788
56431.647723,1000,404.200314
50128.735841,1000,412.008723
68268.068225,1000,417.729779
60739.215948,1000,425.523746
63226.785777,1000,431.164806
64517.456833,1000,438.903129
51899.177786,1000,444.36777
64954.855257,1000,452.574207
69908.070154,1000,457.699484
61556.836968,1000,465.951128
59942.767415,1000,471.559282
67201.136315,1000,480.456234
69878.549158,1000,486.112472
70303.315322,1000,493.681189
64823.714412,1000,498.865296
55689.095358,1000,507.662054
70811.69579,1000,513.282743
65583.530671,1000,521.262311
73895.694049,1000,526.585353
83162.823144,1000,536.044717
64532.529693,1000,541.951587
62439.325706,1000,549.995448
59423.488409,1000,555.590993
73307.946698,1000,564.243845
93683.288783,1000,569.740055
61526.274076,1000,577.161651
68653.575752,1000,582.226638
63293.022653,1000,586.846707
65449.328596,1000,592.577062
79558.998529,1000,596.80372
71011.2837,1000,603.422532
72304.946617,1000,609.555676
67493.209809,1000,616.869579
74627.219611,1000,621.548797
74144.339429,1000,630.909681
84397.583228,1000,636.039626
82069.969998,1000,643.999233
63117.225893,1000,649.392607
77842.206939,1000,657.676715
71376.055811,1000,663.300643
75146.983987,1000,671.079736
80560.388531,1000,676.557373
74997.509213,1000,685.714531
76735.872118,1000,691.053432
77436.038995,1000,699.538725
74315.451479,1000,704.022671
68162.184717,1000,712.975576
70855.539752,1000,719.013799
63405.023231,1000,726.722825
69232.56768,1000,732.644463
77569.237486,1000,740.87723
77580.041265,1000,747.149153
74428.973883,1000,753.995362
69566.202168,1000,759.722811
71547.931961,1000,768.260138
74870.699336,1000,774.487587
73762.654747,1000,782.516156
76573.037774,1000,788.347805
68371.905684,1000,796.862155
71584.700523,1000,802.960928
84815.99854,1000,811.120986
79591.311889,1000,816.664592
94655.379213,1000,824.599347
92958.305629,1000,830.514623
77709.074137,1000,837.92642
74925.181009,1000,843.471229
74300.698777,1000,851.727792
83449.37624,1000,857.866754
80758.601455,1000,865.768365
76866.148931,1000,871.774758
103703.635217,1000,877.79626
92829.839878,1000,884.944897
76777.143958,1000,890.713044
79686.41466,1000,899.963708
75451.771197,1000,905.339132
91632.633168,1000,913.684043
85445.492715,1000,919.480447
87049.595175,1000,927.979106
82411.292861,1000,934.049237
78371.400417,1000,942.305974
73712.675916,1000,947.967046
79871.13825,1000,955.334373
84283.290215,1000,959.445209
82666.577199,1000,967.742323
85803.392614,1000,972.371837
94970.783222,1000,978.474753
81143.186293,1000,983.337415
75730.543338,1000,989.446245
89511.502999,1000,993.759152
76433.857761,1000,1000.389702
72214.706855,1000,1004.477962
80891.794736,1000,1010.414572
83036.000641,1000,1013.815311
74324.105728,1000,1022.080948
106865.956092,1000,1027.682029
80791.011387,1000,1035.50756
70768.8246,1000,1040.509663
101591.478168,1000,1049.52528
87790.700171,1000,1055.420636
85158.84492,1000,1064.059104
73353.38016,1000,1069.388922
103685.637249,1000,1078.308145
85444.281798,1000,1084.558809
89431.52917,1000,1092.752746
83599.811829,1000,1098.430299
72983.871947,1000,1107.182513
85190.776593,1000,1112.309107
94680.93248,1000,1121.487964
99681.556408,1000,1126.184468
95841.925522,1000,1135.359932
69858.894745,1000,1141.335579
93073.324888,1000,1149.875289
134295.066566,1000,1155.121998
124697.174918,1000,1161.870904
90513.032358,1000,1169.978622
119571.92906,1000,1176.33621
73670.828707,1000,1184.309617
134329.654371,1000,1190.374969
90227.681673,1000,1199.486092
77876.277807,1000,1205.388426
135891.78897,1000,1211.886088
71683.18008,1000,1216.893374
91593.498897,1000,1226.807473
92711.474956,1000,1232.911213
118887.876684,1000,1241.609221
83389.47492,1000,1247.874924
93226.116281,1000,1256.03741
96328.997825,1000,1260.932964
111187.473366,1000,1268.925287
93162.66778,1000,1273.9572
94354.503152,1000,1284.15596
126646.073382,1000,1289.906397
98389.179385,1000,1297.467891
136324.953374,1000,1303.258925
87825.583011,1000,1311.459587
102345.604652,1000,1317.469213
137407.101597,1000,1325.957051
102987.625532,1000,1331.629319
87444.769599,1000,1338.492182
100926.928122,1000,1342.939225
125333.940729,1000,1351.495481
108607.606342,1000,1357.013559
135416.20943,1000,1365.931383
138248.592358,1000,1371.098434
78353.899144,1000,1380.512317
137847.934712,1000,1385.550685
131641.659387,1000,1395.159132
135941.773957,1000,1401.47988
113760.861716,1000,1409.096359
115536.594714,1000,1414.737372
99084.03641,1000,1423.22242
113098.025071,1000,1429.224347
139279.853006,1000,1437.168555
116368.747837,1000,1443.158376
138553.61536,1000,1450.826006
138201.640105,1000,1456.269033
131527.570415,1000,1462.272789
94018.203274,1000,1470.048788
138343.760179,1000,1475.527949
137760.887837,1000,1484.880924
125616.270379,1000,1490.723747
139821.349392,1000,1499.697878
90308.109937,1000,1505.075985
122969.644443,1000,1512.529273
89618.661508,1000,1517.653698
139964.00849,1000,1526.119246
137672.676016,1000,1530.347367
138511.985562,1000,1537.688875
106269.438718,1000,1542.674389
77603.820856,1000,1551.944389
138965.703654,1000,1557.277691
142032.595186,1000,1567.188117
104442.062619,1000,1572.85537
141984.208203,1000,1581.005637
141413.58588,1000,1586.662277
