# {"t_start": 1557087782.0282552, "env_id": "HumanoidStandup-v2"} 
r,l,t
38902.167388,1000,11.74249
37284.961841,1000,17.26479
37473.13357,1000,25.966094
36564.61228,1000,30.552784
41433.812825,1000,38.834553
37416.823899,1000,44.760019
45784.228459,1000,53.078893
38984.673119,1000,59.371697
37534.26679,1000,66.960768
54750.220547,1000,72.860481
41984.271976,1000,79.873883
35909.338163,1000,85.531917
40826.577829,1000,92.789666
42239.673374,1000,98.333792
42854.225553,1000,107.149239
41726.050591,1000,112.596239
40088.091304,1000,120.241294
50008.121391,1000,125.664143
38460.184311,1000,133.983204
45958.365306,1000,139.63778
43764.555716,1000,148.247606
37926.238248,1000,154.29514
43524.588769,1000,163.327106
47341.509321,1000,169.311611
44502.356967,1000,176.828906
47015.806712,1000,182.861883
39579.724208,1000,191.126109
41319.066281,1000,195.921081
44514.340689,1000,204.310174
48126.121138,1000,209.988171
49742.726203,1000,217.290564
47195.708877,1000,223.47965
39733.153016,1000,231.869913
45857.831921,1000,237.552937
44113.654338,1000,245.230731
50018.600427,1000,250.505686
49022.833868,1000,258.871826
49433.640144,1000,263.775288
47400.617664,1000,272.676408
49187.086951,1000,278.076136
49361.678746,1000,286.292013
52850.973076,1000,292.19646
51593.796311,1000,297.829829
52930.007925,1000,304.735518
46896.654987,1000,310.081588
51240.456463,1000,319.123672
50924.578363,1000,324.377792
51469.34399,1000,332.133068
55893.151146,1000,337.684421
59977.614017,1000,345.586647
53253.043517,1000,350.62753
54002.520934,1000,359.21551
60501.227295,1000,365.090996
59227.941328,1000,372.85573
57786.143143,1000,378.381928
54169.929828,1000,387.530254
58613.781442,1000,392.937506
68243.733168,1000,401.547812
64403.146795,1000,406.717106
57849.556989,1000,414.122751
59261.574169,1000,418.964989
67204.03686,1000,428.198918
77018.578728,1000,432.26151
58010.946993,1000,441.812274
68259.737014,1000,447.644019
62607.647096,1000,455.697574
69688.29215,1000,461.564667
61580.815798,1000,469.24573
66294.984126,1000,474.740967
55584.292018,1000,483.251974
74662.862116,1000,488.152061
73669.452566,1000,496.696175
69261.49369,1000,502.768399
54228.910372,1000,510.296534
61208.186536,1000,516.309193
74212.333026,1000,524.15849
56133.483902,1000,529.614177
67300.041174,1000,538.980431
72917.694509,1000,543.816918
64268.47237,1000,553.010574
73641.94936,1000,558.537201
69425.86962,1000,567.102241
71832.45198,1000,573.06115
82873.166762,1000,580.176667
73954.354377,1000,584.620878
69175.990819,1000,589.058296
72355.910519,1000,595.576214
71759.294727,1000,600.250501
73456.264289,1000,606.49887
78966.434016,1000,611.938542
82321.388636,1000,619.452435
79757.237456,1000,625.536422
72619.670255,1000,633.185084
68899.749634,1000,639.15536
72790.519107,1000,646.343842
75931.632282,1000,651.633212
62450.789257,1000,660.000537
70233.606696,1000,665.335691
79840.597796,1000,673.740194
73185.594617,1000,680.484966
74920.29925,1000,687.91307
74610.840473,1000,693.84542
58565.055802,1000,701.992871
80944.020804,1000,707.992023
69585.40316,1000,715.731106
76350.175164,1000,721.267151
77241.87207,1000,729.774732
75228.093548,1000,734.772549
79866.968733,1000,743.459051
66303.594204,1000,749.212845
83957.933657,1000,757.882999
76114.697947,1000,763.436965
78437.4009,1000,770.853735
79272.921018,1000,777.8271
76982.870034,1000,785.552772
74698.806368,1000,790.654532
77421.685944,1000,800.062296
70922.866421,1000,805.615389
82087.850477,1000,813.738747
75414.138852,1000,819.203146
79544.310399,1000,827.820705
78293.545789,1000,833.03895
93158.892518,1000,840.910526
74430.790226,1000,847.286968
83351.66425,1000,854.584632
68849.917831,1000,860.167976
75482.174013,1000,868.730867
77758.520866,1000,873.987772
87177.96113,1000,879.609377
69821.119662,1000,888.591812
70583.440505,1000,893.953891
80561.504105,1000,901.355937
81848.467877,1000,906.819751
70813.303942,1000,917.555931
69686.488237,1000,922.450747
76966.552768,1000,930.269986
90475.976303,1000,935.639687
87607.339015,1000,943.658268
86227.329127,1000,949.415991
86439.906518,1000,958.646679
84098.096746,1000,963.460322
79955.986722,1000,969.785897
81202.43074,1000,974.485214
79011.399595,1000,981.063673
76316.92764,1000,985.605341
68783.640066,1000,992.506636
81143.292772,1000,997.219526
106318.500902,1000,1003.232867
90790.979876,1000,1007.356797
80175.925701,1000,1013.223203
88437.314971,1000,1017.113398
102731.608022,1000,1025.026486
104608.531105,1000,1030.364291
84439.295478,1000,1038.558908
83150.27941,1000,1044.833472
82457.057506,1000,1053.141089
98739.240812,1000,1059.28212
91567.903248,1000,1066.697687
92181.779462,1000,1072.93849
100153.11687,1000,1081.334871
99263.094878,1000,1086.954224
82609.207157,1000,1095.163267
89565.395564,1000,1101.493855
99625.110047,1000,1109.783206
83040.21757,1000,1115.3035
67438.393219,1000,1124.195857
124320.98746,1000,1129.918656
68577.600711,1000,1138.291755
73899.095946,1000,1144.452345
116076.125292,1000,1152.775138
80671.529508,1000,1158.49786
78358.801846,1000,1163.881612
85667.751529,1000,1172.311203
91574.810244,1000,1177.930877
76851.262703,1000,1187.593812
102043.063701,1000,1193.202349
92125.495614,1000,1201.467267
93917.205965,1000,1207.639631
129012.441136,1000,1215.911832
137703.234894,1000,1221.543831
87070.202965,1000,1230.968491
100345.130451,1000,1235.976418
105312.636567,1000,1245.348013
92580.143308,1000,1250.929071
101778.696338,1000,1258.787547
96250.10232,1000,1264.125154
110765.063926,1000,1272.866286
108565.98877,1000,1278.933364
91272.105058,1000,1287.116071
81022.994586,1000,1292.503273
88539.538826,1000,1301.113756
109340.64682,1000,1306.40218
127830.606971,1000,1314.154219
137227.481073,1000,1319.242179
129630.568097,1000,1327.637244
110974.438876,1000,1333.4566
85902.386665,1000,1341.146173
100131.902381,1000,1346.279684
120899.074534,1000,1354.096961
136994.42865,1000,1359.666771
137330.919289,1000,1368.449285
138552.5525,1000,1374.612101
103563.863586,1000,1383.656276
113659.355175,1000,1389.665213
107543.329182,1000,1397.969397
136376.190911,1000,1403.7798
123419.014587,1000,1411.759204
93610.484865,1000,1417.038943
113560.445552,1000,1425.81446
108794.836475,1000,1430.236921
108787.230042,1000,1439.922927
105316.806119,1000,1445.497101
137246.297417,1000,1453.720814
126086.751129,1000,1459.017682
109019.954453,1000,1463.98147
79514.804757,1000,1473.660936
82397.424551,1000,1478.567413
105199.577348,1000,1488.3704
122168.13516,1000,1494.250739
135430.180286,1000,1501.457213
138236.403935,1000,1506.477561
141164.744655,1000,1515.863955
139916.687179,1000,1521.411743
131592.625529,1000,1528.436884
131213.62499,1000,1532.884879
142494.851124,1000,1541.453257
138965.045813,1000,1547.224058
138429.047807,1000,1555.823936
96079.378305,1000,1562.033657
139754.508877,1000,1569.387336
119424.394541,1000,1574.654712
72040.799141,1000,1583.874414
120519.885686,1000,1589.220726
140368.245626,1000,1598.015801
126013.150528,1000,1602.981681
117993.145983,1000,1610.936205
140082.905256,1000,1616.464953
113468.207885,1000,1624.616567
143627.574793,1000,1629.858376
78814.446122,1000,1638.887298
71975.038495,1000,1644.798655
141295.534605,1000,1652.860184
138556.921765,1000,1658.784228
138239.576195,1000,1667.576058
126444.930463,1000,1673.215327
126637.75307,1000,1682.653037
143201.241341,1000,1688.840087
118773.514278,1000,1696.258294
140187.013966,1000,1701.397594
110605.665179,1000,1711.357987
117934.961141,1000,1716.772573
138846.026532,1000,1726.159656
128181.045153,1000,1732.40153
128524.908945,1000,1740.044011
143043.270441,1000,1745.556481
141319.052105,1000,1751.601512
139294.19547,1000,1760.267417
145004.958576,1000,1765.695936
95562.097604,1000,1774.00016
133824.701667,1000,1779.374096
119415.855184,1000,1787.177073
147645.679552,1000,1793.099866
