approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,loss,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.020836938,0.5565918,1000.0,50764.462794082196,0.6118698120117188,145,0.0029895925,36,23.36612,-0.0324922,73728,502.66580822801916,73728,0.070963584
0.022226501,0.56083983,1000.0,51097.42100154667,0.6851427257061005,146,0.008812832,37,23.314825,-0.032968022,75776,516.6213058380526,75776,0.08356171
0.0223489,0.55673826,1000.0,51581.6337641039,0.7773378938436508,136,0.0022616345,38,23.272877,-0.031590782,77824,531.6107913490268,77824,0.06770483
0.023203444,0.5762695,1000.0,52145.33104649367,0.8127894103527069,142,-0.007931914,39,23.245323,-0.03640742,79872,545.9655632650247,79872,0.056951005
0.022878282,0.5769531,1000.0,52362.271194913585,0.7207279801368713,141,0.002484471,40,23.20652,-0.035321668,81920,560.3964662780054,81920,0.075612284
0.021329163,0.57231444,1000.0,53112.47231649398,0.763333722949028,154,0.015842678,41,23.15269,-0.03429801,83968,573.6377759040333,83968,0.10028138
0.02358445,0.56748044,1000.0,53509.39621802326,0.7452523410320282,179,0.010096105,42,23.109074,-0.033526286,86016,585.0672870510025,86016,0.08724479
0.02638638,0.5977539,1000.0,53941.095475852264,0.8680779337882996,191,-0.0090824375,43,23.063105,-0.034944665,88064,595.7490651130211,88064,0.051724453
0.023339089,0.55302733,1000.0,54334.80702435554,0.8051246702671051,159,-0.0015788078,44,23.001411,-0.030889329,90112,608.563330612029,90112,0.05862103
0.022640603,0.5433594,1000.0,54698.40284360868,0.6473147869110107,149,0.009984759,45,22.961142,-0.026470924,92160,622.2541988290031,92160,0.07291137
0.025449505,0.5773926,1000.0,55221.223236904254,0.8131203353404999,147,-0.0032718226,46,22.941303,-0.03533447,94208,636.1491415790515,94208,0.06412531
0.023980534,0.57294923,1000.0,55583.14771,0.818175658583641,148,0.00328397,47,22.892284,-0.033860564,96256,649.9341859120177,96256,0.07428907
0.026645247,0.5942871,1000.0,55971.43309091836,0.7540124952793121,147,-0.004038017,48,22.844652,-0.036930937,98304,663.8306022430188,98304,0.06578584
0.024201952,0.570459,1000.0,56409.078154279996,0.7529553472995758,141,0.0065069646,49,22.798643,-0.030542945,100352,678.2926031200332,100352,0.07409982
0.029088471,0.60605466,1000.0,57145.21122044,0.8362254798412323,147,-0.015804548,50,22.759518,-0.037866082,102400,692.181544326013,102400,0.044123065
0.02369537,0.56103516,1000.0,57873.69156551999,0.7592687904834747,144,0.0005175983,51,22.72324,-0.028833205,104448,706.3370397510007,104448,0.058701597
0.025580192,0.5746582,1000.0,58484.58069459,0.7849561125040054,143,0.0006643159,52,22.655315,-0.027429685,106496,720.6578439880395,106496,0.056187995
0.030501645,0.59750974,1000.0,59055.32698412999,0.8554570972919464,145,-0.0071191443,53,22.603344,-0.030253554,108544,734.7697632120107,108544,0.04626882
0.029853264,0.5953125,1000.0,59746.079865570005,0.7933787703514099,146,0.004627322,54,22.532423,-0.030083189,110592,748.7931276590098,110592,0.069421016
0.02826691,0.603125,1000.0,60366.375227920005,0.7392392456531525,146,-0.0021556667,55,22.48257,-0.03667887,112640,762.8051198419998,112640,0.069046386
0.026233932,0.56811523,1000.0,61031.83013467001,0.716656357049942,140,0.0017141069,56,22.418444,-0.025236318,114688,777.4275006230455,114688,0.053900845
0.028861353,0.60131836,1000.0,61653.44233856,0.8318379521369934,139,-0.0032003142,57,22.36747,-0.032854274,116736,792.0722028320306,116736,0.059307914
0.031754095,0.58330077,1000.0,62155.694262590005,0.8595653921365738,143,-0.004624693,58,22.31846,-0.031241337,118784,806.3162771270145,118784,0.053233296
0.028691208,0.56225586,1000.0,62883.15230740001,0.8560412526130676,145,0.0062704324,59,22.258778,-0.023880854,120832,820.4013450690545,120832,0.060302567
0.028366527,0.58320314,1000.0,63851.73047845,0.8153949230909348,151,0.0021407097,60,22.208027,-0.030294359,122880,833.9381893509999,122880,0.06487015
0.029547695,0.6099121,1000.0,64547.05194050001,0.7323334515094757,147,-3.7569553e-05,61,22.167202,-0.034418404,124928,847.836067805998,124928,0.06876166
0.033493005,0.61743164,1000.0,65279.27713097001,0.8149308860301971,142,-0.0070307977,62,22.102571,-0.03593693,126976,862.2136213060003,126976,0.057812244
0.02992554,0.57250977,1000.0,66558.41905853001,0.7921875417232513,141,0.019887129,63,22.073349,-0.028370539,129024,876.7260463230195,129024,0.09651533
