approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,loss,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
293076.4,0.9717773,1000.0,55605.130841746664,0.8394779562950134,250,0.29876846,37,-41.74689,0.27427176,75776,299.5723502309993,75776,0.04899338
457894.34,0.97148436,1000.0,55827.569566792205,0.7760134637355804,267,0.33325624,38,-41.69207,0.301867,77824,307.2248403929989,77824,0.0627786
136766.1,0.9722168,1000.0,56297.23677446836,0.7099325358867645,264,0.27701068,39,-41.622562,0.24504057,79872,314.967030231026,79872,0.06394024
178630.78,0.9727539,1000.0,56365.186374827164,0.7076396942138672,265,0.2678183,40,-41.577568,0.22967505,81920,322.69641076002154,81920,0.07628661
232566.12,0.97197264,1000.0,56217.85426373494,0.16145294904708862,273,0.26254317,41,-41.531563,0.23647729,83968,330.18016597500537,83968,0.05213181
380709.06,0.9722168,1000.0,56077.820520081405,0.7778783142566681,269,0.27959758,42,-41.47036,0.24914286,86016,337.7806268170243,86016,0.06090941
251100.97,0.97265625,1000.0,56157.6240430909,0.6196478009223938,270,0.2897337,43,-41.4237,0.25406635,88064,345.3464538240223,88064,0.071334876
253501.7,0.9722656,1000.0,56255.04597693332,0.6756536662578583,262,0.3083784,44,-41.37794,0.28127688,90112,353.1581631870067,90112,0.05420314
292876.66,0.97202146,1000.0,56515.55429504346,0.6798862218856812,270,0.29414934,45,-41.339558,0.2614639,92160,360.744662860001,92160,0.06537087
317532.12,0.97207034,1000.0,56757.45863139361,0.48934298753738403,268,0.26878187,46,-41.291832,0.23504953,94208,368.38066674000584,94208,0.06746472
172097.84,0.971875,1000.0,56766.99411734375,0.7214842438697815,269,0.27373934,47,-41.224968,0.24873228,96256,375.9755012540263,96256,0.050014187
243982.83,0.9716797,1000.0,56712.34397859183,0.46286720037460327,264,0.25634825,48,-41.149666,0.23182774,98304,383.7241889590223,98304,0.04904091
219081.95,0.97250974,1000.0,56613.92693292999,0.6905127465724945,270,0.2863695,49,-41.08551,0.2539045,100352,391.289506525005,100352,0.06493011
210035.38,0.9729492,1000.0,56989.22199089,0.8375412374734879,271,0.2658439,50,-41.000175,0.23999302,102400,398.84378033300163,102400,0.051701844
281142.6,0.97216797,1000.0,56782.968244389995,0.49077123403549194,260,0.28166628,51,-40.93136,0.25677508,104448,406.70357400001376,104448,0.04978243
175818.0,0.9723633,1000.0,56975.19969347001,0.541549801826477,265,0.27433237,52,-40.862442,0.24720688,106496,414.4209180760081,106496,0.054250944
281124.3,0.97216797,1000.0,57270.265855280006,0.5897293090820312,269,0.25054556,53,-40.802082,0.21400747,108544,422.0296223590267,108544,0.073076315
