# {"t_start": 1557133667.6606617, "env_id": "HumanoidStandup-v2"} 
r,l,t
38094.807797,1000,9.697317
38845.394819,1000,13.68296
37491.356556,1000,24.531753
40367.683077,1000,29.308784
39171.390102,1000,36.126731
40754.072616,1000,41.941092
35538.683184,1000,50.266593
38194.199905,1000,55.536036
40576.696758,1000,62.425261
45289.892334,1000,68.4574
38044.582498,1000,75.096731
40224.794736,1000,79.760157
45589.586376,1000,86.554885
37021.53705,1000,90.640668
52662.928862,1000,96.868464
38362.977917,1000,100.718903
41489.444206,1000,106.731178
40512.022224,1000,111.16326
46237.094045,1000,118.185336
42085.419618,1000,123.04279
42679.822082,1000,129.853735
47231.017851,1000,134.549399
46504.508415,1000,141.712653
38974.229218,1000,145.275912
50437.136403,1000,152.871238
46017.041453,1000,157.046234
46215.787679,1000,163.551852
43026.274395,1000,168.330239
44149.992679,1000,175.951011
43449.247692,1000,179.875094
42931.365588,1000,186.039143
47246.34726,1000,191.192644
51153.657444,1000,197.967881
42315.918109,1000,203.601267
51099.902739,1000,210.663828
44841.634224,1000,215.289393
48196.270939,1000,222.032624
52898.457318,1000,226.290774
56762.773288,1000,233.16091
50034.816677,1000,238.050727
52995.116295,1000,244.178529
47030.484007,1000,249.300623
62649.046859,1000,254.547377
50138.818478,1000,261.226828
54115.930875,1000,266.832088
50174.14592,1000,272.875229
51460.342684,1000,277.288432
56073.349323,1000,283.749558
57275.724689,1000,288.730811
53997.895357,1000,295.170492
56754.005649,1000,300.945882
56099.250919,1000,308.471445
61991.796519,1000,314.008716
61965.506369,1000,323.322919
59102.344693,1000,327.49825
58042.218876,1000,335.474412
63642.017415,1000,340.134867
65041.482464,1000,346.602296
62609.48189,1000,351.355167
58667.598745,1000,358.110648
58172.889765,1000,362.956418
60635.972038,1000,370.000925
61799.441714,1000,374.310182
67338.1772,1000,380.465825
65651.037293,1000,384.652488
71546.993526,1000,391.084055
56142.998343,1000,395.810301
67097.778256,1000,402.450533
66702.44399,1000,406.647399
73480.19584,1000,413.13561
74128.088166,1000,418.439969
57503.739875,1000,425.049055
61197.727908,1000,431.179717
80978.345085,1000,437.272303
73437.745944,1000,441.105795
76349.52478,1000,448.829371
76013.736922,1000,453.297174
67011.441505,1000,459.781043
82594.027084,1000,464.644826
69381.036779,1000,470.83483
71681.575566,1000,474.966658
89645.930524,1000,483.306825
93481.077883,1000,488.503026
60253.278783,1000,495.158993
79376.176323,1000,500.377141
65584.463651,1000,504.730369
78484.032725,1000,511.030655
73709.478295,1000,515.026226
82963.294342,1000,520.247849
70928.981573,1000,524.252171
78421.597212,1000,531.231468
63726.324709,1000,534.892673
80948.087602,1000,542.365676
78723.738407,1000,546.068293
79101.556919,1000,552.587323
59925.906841,1000,556.928135
92295.340588,1000,563.601033
91159.685459,1000,567.360003
64477.064134,1000,573.816691
80048.804576,1000,578.297467
84550.478535,1000,585.834323
92261.311769,1000,590.092441
84414.309025,1000,597.612813
87493.404866,1000,603.612522
79363.7736,1000,610.23263
67919.548733,1000,614.878937
87364.233632,1000,621.995933
78371.080516,1000,625.895062
75620.115283,1000,631.861794
66068.093732,1000,636.026349
78247.000695,1000,645.950824
90345.174798,1000,650.490698
78174.579812,1000,657.741507
67723.90675,1000,661.67889
81907.381976,1000,668.60779
77624.345314,1000,672.36054
83739.22786,1000,678.929962
76341.098367,1000,682.739366
99185.861823,1000,689.293705
100189.138532,1000,693.522432
94982.345309,1000,699.334885
95553.503806,1000,703.505807
67936.587982,1000,709.856566
81189.875468,1000,714.38863
94732.59578,1000,723.040775
68824.991621,1000,728.690898
88049.781952,1000,735.634022
59715.409727,1000,740.041481
83421.792827,1000,744.100692
91873.772342,1000,750.631163
73684.640682,1000,755.202027
87966.870603,1000,761.507065
103238.210499,1000,766.027404
71808.113676,1000,771.452079
94114.695264,1000,775.477378
86544.125603,1000,782.727002
82484.484949,1000,787.335471
94328.828391,1000,792.817746
86312.689361,1000,796.879565
86611.362875,1000,803.832171
87844.247442,1000,808.597695
80676.877776,1000,815.401465
80791.822225,1000,819.611152
81539.186452,1000,825.783776
83464.100255,1000,830.645538
85192.716947,1000,836.692347
92012.299078,1000,840.674381
104082.261776,1000,846.170786
91330.882628,1000,850.411203
69890.640851,1000,857.41426
89599.554777,1000,861.596634
92327.158091,1000,867.470573
91156.355626,1000,871.710382
74287.615468,1000,877.821704
92919.614241,1000,882.308536
83606.599795,1000,888.200062
94564.619033,1000,892.599344
87717.946381,1000,898.730106
89738.54471,1000,903.432562
90952.307556,1000,909.578827
84229.505105,1000,915.183375
89754.384638,1000,921.346335
113461.105251,1000,925.654302
98658.697212,1000,932.148777
84061.78509,1000,936.123129
80958.6476,1000,943.391981
100841.293462,1000,946.97924
100250.385181,1000,953.4619
94016.09093,1000,957.801142
99939.608521,1000,964.260046
83085.212802,1000,967.868449
97818.457057,1000,971.639279
97704.173737,1000,979.945803
117828.143368,1000,984.085458
114615.109799,1000,989.949251
90898.821992,1000,994.330474
96385.959427,1000,1001.19225
112470.839642,1000,1006.04598
99960.986081,1000,1012.169484
120535.902206,1000,1016.489578
128147.422264,1000,1022.514406
120258.704588,1000,1026.748921
110446.299012,1000,1032.471669
108118.090959,1000,1036.759085
98978.271157,1000,1043.188154
87801.115058,1000,1046.882468
96075.800554,1000,1053.36617
102989.182162,1000,1057.96746
104147.270007,1000,1064.771543
111823.229422,1000,1068.830745
101828.799036,1000,1075.560258
93762.272858,1000,1079.686574
112857.48795,1000,1085.791099
116924.183397,1000,1090.315187
88627.593592,1000,1097.269397
119871.141909,1000,1102.199472
93160.546398,1000,1111.356679
106692.896758,1000,1115.960872
125964.532258,1000,1122.925252
98196.242337,1000,1127.655665
113692.660229,1000,1134.114417
119205.89187,1000,1139.860476
138212.361148,1000,1146.995007
115058.917244,1000,1150.959497
102697.564995,1000,1158.989534
122869.517257,1000,1163.54968
117933.751737,1000,1170.169811
130265.93379,1000,1175.005458
128929.714209,1000,1182.41037
108389.018588,1000,1186.886847
113811.012561,1000,1194.062202
92604.686904,1000,1198.556799
114839.369994,1000,1204.954619
80138.363061,1000,1209.205708
119414.464341,1000,1213.681403
145474.203708,1000,1220.008215
106419.068836,1000,1224.439834
112502.811852,1000,1230.886765
103837.655833,1000,1235.334987
109945.32021,1000,1241.923244
119629.15275,1000,1246.389515
123339.346859,1000,1252.863502
126940.140771,1000,1257.560867
128033.649913,1000,1262.894985
115392.346013,1000,1267.326401
97352.310908,1000,1274.546927
122182.281789,1000,1279.200894
120973.231378,1000,1284.267751
107077.49268,1000,1289.251143
81348.285598,1000,1295.469557
92126.151416,1000,1299.884486
118119.064796,1000,1306.524064
120650.487004,1000,1310.839045
98527.522661,1000,1316.721863
115637.813749,1000,1320.922909
98570.018285,1000,1327.999851
117822.194652,1000,1332.654469
141747.694466,1000,1338.584707
128516.860713,1000,1344.060349
108487.866876,1000,1352.797528
140786.790666,1000,1358.02736
125243.11133,1000,1364.151101
146896.068689,1000,1368.837554
114906.198823,1000,1376.155103
123724.578723,1000,1379.913082
110125.27515,1000,1387.905196
134816.307107,1000,1392.030059
114042.708892,1000,1398.435953
120536.330658,1000,1402.270415
147074.305939,1000,1409.351352
114738.993932,1000,1414.249545
135293.650759,1000,1420.05396
100342.198757,1000,1424.41825
140860.500582,1000,1430.744087
134522.445162,1000,1435.0012
97149.393966,1000,1439.60901
128064.457158,1000,1446.210632
109359.469257,1000,1450.520412
149418.653076,1000,1457.565455
129566.642639,1000,1462.078381
128686.21114,1000,1468.213864
150656.603371,1000,1472.670007
132724.601831,1000,1478.833128
105912.018964,1000,1483.071671
119280.852038,1000,1488.495896
129487.569968,1000,1492.674121
146461.557022,1000,1499.951158
134891.11553,1000,1504.161848
98490.277809,1000,1510.427614
114122.317526,1000,1515.277146
129740.901786,1000,1521.041494
136991.547605,1000,1525.58623
133290.08272,1000,1531.815541
133204.03093,1000,1535.915464
153084.515015,1000,1542.003021
120207.226667,1000,1546.315428
123302.832266,1000,1552.24351
121084.085916,1000,1556.246662
147205.701545,1000,1563.597237
137249.381804,1000,1568.469022
137527.711991,1000,1574.706406
136915.445211,1000,1579.142039
126807.27495,1000,1585.3753
148415.793202,1000,1589.715183
129140.835332,1000,1596.037895
131388.595356,1000,1601.374857
152402.693695,1000,1608.260951
126327.261302,1000,1612.670911
118992.671807,1000,1620.08054
123481.604337,1000,1624.12316
136370.571074,1000,1630.569776
134382.18457,1000,1635.357631
144631.759709,1000,1641.368397
128249.16958,1000,1646.060828
148037.4463,1000,1652.124118
148914.7958,1000,1656.891971
134868.769428,1000,1663.269657
147904.760795,1000,1667.819507
122240.679859,1000,1672.08754
142270.995982,1000,1679.282365
101074.200958,1000,1683.98089
136186.793304,1000,1690.392864
147906.256123,1000,1695.71333
128149.109182,1000,1702.762746
151369.55438,1000,1708.452143
148437.661389,1000,1716.561821
156365.578516,1000,1721.328597
137962.349692,1000,1727.923977
120375.185186,1000,1732.342451
122699.151623,1000,1738.058995
153308.920576,1000,1742.336242
145633.371978,1000,1749.595423
94714.621322,1000,1753.872598
154209.100403,1000,1760.476023
155433.208739,1000,1764.936203
127833.970822,1000,1771.176118
149836.923924,1000,1775.630477
154610.235301,1000,1782.595213
153019.712454,1000,1786.742976
144174.403105,1000,1792.958349
115407.44973,1000,1797.07977
153049.714075,1000,1804.019061
153963.301122,1000,1808.310848
155273.956206,1000,1814.834358
152033.380847,1000,1819.767421
146982.429389,1000,1827.455806
155349.998743,1000,1831.482964
153078.942884,1000,1837.496084
152073.005936,1000,1841.329682
140030.884252,1000,1849.374535
154842.864641,1000,1853.627343
155113.919717,1000,1861.979997
88201.774488,1000,1866.022907
153492.358136,1000,1872.752429
129110.093615,1000,1876.471658
146148.758604,1000,1884.51938
71669.313089,1000,1888.655036
127257.027214,1000,1895.627722
124630.184832,1000,1899.912528
151130.252228,1000,1907.001155
145549.275277,1000,1911.232831
134451.229514,1000,1916.059645
134373.175664,1000,1922.042676
69079.232974,1000,1926.028433
123967.651674,1000,1934.079433
155824.217926,1000,1939.120011
146292.64419,1000,1944.858714
155697.843118,1000,1949.468707
153774.510845,1000,1956.40795
157332.751759,1000,1961.001321
149621.463937,1000,1967.941257
158625.79307,1000,1973.84552
157119.484098,1000,1980.118998
155593.860208,1000,1984.54888
155928.378471,1000,1991.443461
158699.664681,1000,1996.309504
156068.160607,1000,2003.438783
148868.214341,1000,2008.817109
156995.503302,1000,2016.722574
156041.550009,1000,2022.259187
153652.450292,1000,2029.83655
150745.189928,1000,2034.688872
157830.943898,1000,2041.372404
156130.953507,1000,2046.024489
157978.59078,1000,2052.804419
152226.21111,1000,2059.149644
154634.250266,1000,2067.526319
155101.529122,1000,2072.640262
154788.505392,1000,2080.053874
157147.919391,1000,2085.558229
159677.646457,1000,2093.118623
157172.938059,1000,2098.31645
155957.115922,1000,2105.500886
159517.981497,1000,2110.271549
153910.39931,1000,2116.683014
133123.296722,1000,2121.463669
155502.695256,1000,2128.33794
158374.983723,1000,2133.490137
153456.966389,1000,2140.000566
156094.561125,1000,2144.837177
158782.405811,1000,2152.559319
132753.028818,1000,2156.800809
158325.238111,1000,2163.370419
158881.263627,1000,2167.777331
122290.678968,1000,2172.632979
137609.476835,1000,2179.214525
139640.275043,1000,2184.018746
150507.184209,1000,2190.098778
153517.152761,1000,2194.254373
159130.03962,1000,2201.986165
142437.918957,1000,2207.173915
157990.805125,1000,2213.508178
154467.487973,1000,2217.624678
151569.596957,1000,2223.93133
157810.309694,1000,2229.016665
157522.526465,1000,2235.241765
145189.437581,1000,2239.33411
154427.208279,1000,2246.237164
157950.405119,1000,2250.419883
153449.749397,1000,2257.335716
149665.524198,1000,2260.861614
159502.482296,1000,2267.732636
136362.679866,1000,2272.690852
157090.057014,1000,2279.726587
155212.576002,1000,2284.693462
148193.803993,1000,2293.596577
156932.664718,1000,2298.55329
151412.743789,1000,2305.096162
150686.125995,1000,2309.751075
162060.778989,1000,2315.448686
156808.076492,1000,2319.988529
127179.693201,1000,2328.423285
149331.99402,1000,2333.478528
157565.2013,1000,2340.195751
143135.019669,1000,2344.199887
159266.263977,1000,2352.049903
148515.679753,1000,2356.192479
159694.989217,1000,2362.716685
133243.235546,1000,2367.450177
157025.360838,1000,2374.812809
141237.385806,1000,2379.230225
134653.595547,1000,2386.425752
155360.167171,1000,2392.833946
155318.591914,1000,2398.863092
157457.014481,1000,2403.665812
82031.125212,1000,2409.835515
116562.582315,1000,2414.17556
162521.70413,1000,2419.085583
161176.03827,1000,2425.472519
103163.293901,1000,2430.285551
149174.222862,1000,2439.275253
156659.190205,1000,2443.953363
158489.499777,1000,2452.016387
157675.107029,1000,2458.613057
99311.671522,1000,2465.002877
157056.230464,1000,2469.763873
109076.642574,1000,2477.510791
157929.769582,1000,2482.472857
160678.779086,1000,2489.043991
98795.679057,1000,2494.643058
149256.171287,1000,2501.595131
149755.241354,1000,2506.043378
160030.107252,1000,2513.117815
157911.999998,1000,2517.072307
142800.737194,1000,2524.534732
161424.404197,1000,2528.39486
159317.862863,1000,2535.403626
120777.074026,1000,2540.187505
83187.178531,1000,2546.31442
156751.608463,1000,2550.108
113350.392414,1000,2557.597558
112311.725794,1000,2561.558811
160143.568209,1000,2568.147971
155808.349796,1000,2572.32526
142692.571811,1000,2579.188562
152173.488533,1000,2583.869192
146615.267531,1000,2590.334589
163388.430397,1000,2594.708846
146327.062774,1000,2601.319627
155700.301657,1000,2605.56215
160988.425754,1000,2612.131546
143560.400479,1000,2616.919898
158325.751634,1000,2624.132859
158938.261261,1000,2629.8429
159683.162974,1000,2636.948241
157692.991472,1000,2641.626597
154547.562561,1000,2647.855989
125737.317373,1000,2652.250045
159463.531083,1000,2659.285784
157708.8721,1000,2664.128414
135035.727059,1000,2668.615517
158945.709171,1000,2674.965749
157974.781233,1000,2679.396411
160351.551464,1000,2686.41536
158873.808852,1000,2690.93209
140862.095251,1000,2697.167758
144828.31214,1000,2702.399795
140704.200792,1000,2710.166643
153017.151432,1000,2714.648879
148716.883098,1000,2721.992298
155780.450915,1000,2726.630501
159943.02463,1000,2733.978316
119114.148209,1000,2738.990337
159168.630617,1000,2746.466457
160324.460496,1000,2751.044703
152275.556492,1000,2758.635231
141765.648765,1000,2763.167441
140415.969291,1000,2769.857925
148228.081788,1000,2775.249819
157625.272466,1000,2782.778584
90990.756147,1000,2787.429308
156302.314099,1000,2794.315331
114710.502578,1000,2798.882553
132088.92208,1000,2805.651896
158901.644096,1000,2810.499037
141090.124845,1000,2816.465844
93813.764866,1000,2821.645897
150744.032658,1000,2827.473361
92895.217657,1000,2831.808917
161010.698779,1000,2840.554964
158015.223273,1000,2845.192295
150416.881694,1000,2851.702017
116160.878804,1000,2856.005579
156593.202416,1000,2863.656452
155999.910316,1000,2869.417421
96840.699267,1000,2877.075438
158987.090291,1000,2881.785022
158159.755137,1000,2888.536534
155821.923414,1000,2892.794405
157377.004766,1000,2899.819309
154200.174789,1000,2904.598975
154035.867467,1000,2908.937646
98844.932324,1000,2914.824675
147957.052887,1000,2919.82309
149247.692516,1000,2926.061795
155940.221273,1000,2930.6996
159750.632584,1000,2936.577619
92862.910969,1000,2941.38619
151357.266344,1000,2947.11918
160396.865233,1000,2952.213126
138279.231115,1000,2958.111575
155358.075482,1000,2962.82583
158209.73082,1000,2968.823123
133919.848242,1000,2973.034173
74337.304664,1000,2978.973501
146196.052718,1000,2983.294003
138259.068083,1000,2990.559257
161191.517773,1000,2995.387824
155268.638298,1000,3001.342305
160183.875063,1000,3005.893909
163604.075393,1000,3011.822123
149311.052442,1000,3015.84617
111543.020207,1000,3023.988981
139813.5664,1000,3028.62264
158523.307205,1000,3034.612264
158273.372433,1000,3039.264649
149665.847543,1000,3045.773986
164584.724227,1000,3050.36949
154026.476424,1000,3056.528294
108288.023144,1000,3061.193026
92518.079301,1000,3068.568821
76937.949313,1000,3074.201778
135676.760171,1000,3083.310013
159986.330991,1000,3088.362273
162344.690941,1000,3094.785759
158243.618868,1000,3099.072768
159406.283829,1000,3106.535206
159288.6658,1000,3111.141859
149428.202416,1000,3118.898379
158454.758623,1000,3124.737669
110456.404892,1000,3131.623623
161268.265347,1000,3136.047227
105352.043552,1000,3142.684237
122740.842875,1000,3147.119686
85721.576747,1000,3151.460615
92717.092512,1000,3158.142986
159561.134779,1000,3162.555527
161122.225567,1000,3168.873866
158273.550611,1000,3173.584777
164045.441411,1000,3179.599963
157712.164687,1000,3184.323142
158382.4236,1000,3191.009911
161107.66197,1000,3195.235932
165602.530591,1000,3201.934206
145085.672837,1000,3208.153492
160995.498576,1000,3213.935382
154259.874147,1000,3218.406799
112543.217903,1000,3225.241104
163044.868492,1000,3230.829477
115234.766825,1000,3237.837608
160231.539635,1000,3242.319568
162018.710369,1000,3249.080038
143930.452932,1000,3253.713145
159578.504385,1000,3259.924294
142406.552786,1000,3264.495964
153733.413312,1000,3270.547479
113722.893957,1000,3275.020154
156610.636257,1000,3281.748654
162059.77217,1000,3286.509013
157350.596402,1000,3292.824616
165007.558184,1000,3297.318645
136124.684946,1000,3303.803797
89076.851013,1000,3308.295455
158054.399287,1000,3314.543186
161647.110753,1000,3318.294189
160998.633832,1000,3325.206104
159160.334472,1000,3329.345717
163021.416046,1000,3336.378078
122324.457194,1000,3341.009433
139374.693079,1000,3347.135257
150052.098044,1000,3351.756464
141722.974745,1000,3357.813869
127391.406556,1000,3361.877445
85610.722395,1000,3368.844482
146326.539234,1000,3373.052313
117966.112444,1000,3379.717949
147055.495577,1000,3384.010518
158270.903783,1000,3388.503322
156825.375005,1000,3395.683275
169048.792213,1000,3399.487884
166013.908434,1000,3405.465138
96232.355251,1000,3409.618187
127782.090473,1000,3416.277907
165469.118175,1000,3420.847279
162419.443239,1000,3427.476202
127502.986694,1000,3432.017803
117728.723989,1000,3438.36964
162695.988287,1000,3443.304724
167543.886198,1000,3449.357108
154812.224021,1000,3452.935366
152800.647917,1000,3460.113135
139987.478062,1000,3464.640144
163416.345183,1000,3471.024515
131069.055864,1000,3475.555843
99714.760663,1000,3482.197132
103281.686323,1000,3486.682698
157268.975242,1000,3493.619795
