# {"t_start": 1557133664.0291083, "env_id": "HumanoidStandup-v2"} 
r,l,t
38493.552561,1000,13.811078
38546.882985,1000,19.170017
37765.335368,1000,27.275948
35374.732523,1000,31.79437
40888.206947,1000,39.687975
39026.21533,1000,44.992227
45297.770303,1000,53.689115
40342.389988,1000,58.883381
45808.054302,1000,66.083276
38112.781353,1000,71.841081
38672.92131,1000,77.687833
45972.910898,1000,82.763221
37722.052526,1000,90.303042
41078.690775,1000,94.6041
41409.737153,1000,99.918769
38504.228254,1000,103.937188
43982.869039,1000,110.895512
45322.754608,1000,115.595922
50173.51757,1000,121.593736
42710.479828,1000,127.19771
46506.60174,1000,133.886995
41169.692858,1000,139.15264
40602.778231,1000,145.679854
38770.20961,1000,149.802489
43694.580294,1000,156.21722
50216.421045,1000,160.690577
42299.291333,1000,167.325873
43403.29837,1000,172.581486
45421.215562,1000,179.111696
47331.353498,1000,183.201397
50417.596448,1000,190.146567
45037.767289,1000,194.512611
46898.200982,1000,201.670406
46843.815493,1000,207.559765
49769.347723,1000,214.11311
49331.603512,1000,218.972137
50083.429302,1000,225.789298
49357.127014,1000,230.338438
48853.45965,1000,236.780762
48297.465994,1000,241.751743
48175.25348,1000,247.73891
52254.149438,1000,252.277119
50576.678088,1000,257.724737
51878.144739,1000,265.654097
54264.039503,1000,270.46773
52729.889196,1000,276.681131
54526.80421,1000,280.184275
56232.191117,1000,287.552624
54137.788002,1000,291.87616
51386.264168,1000,298.270956
53565.711527,1000,302.9958
58118.090275,1000,313.536536
69393.068696,1000,320.025303
69510.818301,1000,326.51684
56016.319729,1000,331.503047
66024.169577,1000,338.938958
57824.587796,1000,343.86319
57295.291144,1000,350.331851
65620.249705,1000,355.128992
67309.913144,1000,362.050887
60885.364005,1000,366.580147
58942.795372,1000,373.831459
67632.376056,1000,377.850542
56840.968403,1000,384.609212
57787.008304,1000,388.307197
56526.709117,1000,394.467192
71981.450305,1000,398.8262
72912.219173,1000,406.4766
57042.42796,1000,411.010072
69608.670145,1000,416.66493
70041.71333,1000,422.271019
83845.92839,1000,428.607399
65741.132769,1000,434.043091
59136.123061,1000,440.786828
68456.832586,1000,445.770219
76184.353527,1000,452.782722
65566.62352,1000,456.911826
86280.377914,1000,463.080099
78283.3365,1000,467.800884
72327.509438,1000,474.357674
65750.769244,1000,479.446626
83282.539671,1000,486.994194
71507.799171,1000,492.101252
68177.523207,1000,498.704837
81777.638196,1000,503.634548
77634.557704,1000,507.916205
79194.897794,1000,513.840493
71705.907018,1000,517.842259
79235.175864,1000,525.200746
77216.497522,1000,529.193496
78443.587546,1000,535.60964
67528.751917,1000,539.919707
86098.767732,1000,545.94135
70584.81714,1000,550.179979
70863.525357,1000,555.774254
76086.356899,1000,559.596892
72192.889827,1000,567.265666
79200.287453,1000,571.870903
85564.943767,1000,578.271581
81271.685563,1000,583.008396
84034.542464,1000,590.057293
72842.668909,1000,594.222989
77718.717213,1000,601.370803
82067.723009,1000,606.725591
75688.543346,1000,613.908402
102362.454148,1000,618.767416
77363.65814,1000,625.332297
