# {"t_start": 1557133665.517742, "env_id": "HumanoidStandup-v2"} 
r,l,t
36480.112531,1000,11.003132
40981.952035,1000,15.206061
40584.689277,1000,26.986476
38567.20365,1000,31.612722
39961.328121,1000,38.649776
41161.429024,1000,44.00368
40053.695956,1000,52.241337
38736.76661,1000,56.254345
38264.077826,1000,64.476473
38959.178265,1000,69.908574
38438.166096,1000,76.850446
40572.044671,1000,81.431717
41465.765796,1000,88.694273
43117.775391,1000,92.782763
39597.590865,1000,98.287492
42087.739119,1000,102.320758
43091.413255,1000,109.430855
45127.031556,1000,113.793198
39569.769684,1000,120.239302
41084.726329,1000,124.932046
41423.503934,1000,131.818076
40667.351083,1000,136.126073
43310.974457,1000,143.882365
44806.511405,1000,147.86924
43329.512095,1000,154.864047
40105.883616,1000,158.733771
41110.435116,1000,165.687469
46339.38759,1000,169.282303
49974.395227,1000,177.621874
43702.704066,1000,182.358334
46673.419155,1000,188.180526
51119.338677,1000,193.454912
48815.102952,1000,200.084017
47581.928225,1000,206.434593
52992.541331,1000,212.85868
52249.784044,1000,217.91789
46544.526623,1000,224.364628
46986.578809,1000,228.428316
57031.938799,1000,235.471366
52412.8499,1000,239.674868
53639.128784,1000,246.31101
52990.515061,1000,250.95315
51709.950184,1000,255.991642
59462.026779,1000,263.533561
54519.629945,1000,268.799239
48501.504348,1000,274.997922
57381.274959,1000,279.610598
65033.251413,1000,285.742894
62537.948585,1000,290.465624
60641.342178,1000,297.66111
57625.198999,1000,302.792208
60015.630998,1000,312.379723
57319.063094,1000,318.293529
63095.610729,1000,325.817432
57505.975241,1000,330.953692
55877.049941,1000,337.411556
57913.735211,1000,342.169165
63887.430092,1000,349.227691
56036.552805,1000,353.581204
63056.138236,1000,360.515697
61746.056118,1000,364.692217
70813.157626,1000,371.831506
67800.330362,1000,377.006462
62544.855576,1000,382.890625
59576.574468,1000,387.326689
51737.579237,1000,393.335767
72652.989347,1000,397.988762
72633.186521,1000,404.788692
77017.650829,1000,408.950095
66942.671882,1000,415.182339
75883.938892,1000,420.685022
67598.699743,1000,427.225333
68149.303841,1000,432.727025
80673.982936,1000,439.170741
73040.897052,1000,444.287692
73436.280826,1000,451.379887
79280.59725,1000,455.333166
73968.075953,1000,461.831785
72114.399487,1000,466.650334
57513.154096,1000,473.008303
80069.798936,1000,478.40401
87128.14959,1000,485.360339
81157.240865,1000,489.378407
72578.815642,1000,497.281806
65965.520005,1000,502.146098
72678.366121,1000,506.556561
96985.678917,1000,512.909602
70757.942786,1000,517.413429
87341.634407,1000,523.261201
78836.401629,1000,527.320876
91954.54256,1000,533.880801
69318.532291,1000,538.525431
67447.052944,1000,544.960251
66487.417033,1000,549.166383
82211.873795,1000,555.580028
73126.814553,1000,560.059171
75195.347599,1000,566.034466
71828.551053,1000,569.790845
65282.330106,1000,576.029766
72395.759661,1000,581.267756
84081.0989,1000,588.300006
73035.812839,1000,593.417248
65219.39641,1000,599.976168
90566.329004,1000,604.730028
70590.793282,1000,611.964448
82427.759901,1000,617.05131
87461.611023,1000,623.69322
100005.697586,1000,628.005221
82548.546282,1000,634.517065
108578.578218,1000,640.286325
95409.489502,1000,648.311655
83921.964051,1000,653.819708
74007.933944,1000,659.72362
110332.944317,1000,663.631538
62345.04248,1000,670.855285
72402.396834,1000,675.434902
100997.370212,1000,681.098607
71807.424241,1000,685.563668
85054.973445,1000,691.61296
87486.394318,1000,695.751595
102861.061374,1000,701.560408
79318.785594,1000,705.572361
93547.167577,1000,711.962532
87247.824646,1000,717.287563
77738.095686,1000,725.286244
98997.771825,1000,731.060504
89838.331512,1000,737.798946
86385.845467,1000,742.909163
96396.946497,1000,747.027046
98787.873727,1000,752.463633
67824.643413,1000,756.66313
82879.705956,1000,763.478857
94602.369951,1000,767.771451
85993.531492,1000,774.48291
98120.876927,1000,778.729646
90797.059269,1000,785.009017
83406.648231,1000,789.419141
90381.622598,1000,795.109394
91248.192943,1000,798.830178
121009.364008,1000,805.474269
91247.402317,1000,810.033047
87042.642492,1000,817.189683
79794.525018,1000,821.378032
92810.615908,1000,827.764882
100701.250972,1000,831.384674
86569.531002,1000,837.603508
95886.203749,1000,841.517777
94253.724252,1000,848.503984
102757.004401,1000,853.396679
97348.003829,1000,859.364693
77709.288115,1000,863.463278
82206.681306,1000,869.663488
83026.313177,1000,874.027717
61769.085401,1000,880.006928
87028.863252,1000,883.760597
107853.968094,1000,890.210137
84064.749407,1000,894.320185
96084.10143,1000,900.601346
98683.462543,1000,904.607758
84126.431776,1000,911.232728
90604.88057,1000,916.392242
109538.106672,1000,923.568449
104956.797551,1000,928.024625
83568.0212,1000,934.166545
104687.329456,1000,938.727701
91035.298513,1000,945.501782
98176.955448,1000,949.620609
82420.342079,1000,955.647091
101127.777303,1000,960.776
84167.029625,1000,966.390484
81680.735379,1000,971.012846
98614.211091,1000,976.08464
88462.698879,1000,982.093884
94519.561389,1000,986.030307
104177.985536,1000,991.813432
92226.739612,1000,995.569572
113953.298836,1000,1002.718663
100884.904273,1000,1007.198108
122619.960728,1000,1013.81393
90936.367879,1000,1017.975619
110982.361384,1000,1023.71592
74489.6624,1000,1027.575235
112237.193072,1000,1035.016699
100219.210399,1000,1038.984584
112635.847786,1000,1045.175598
103661.751806,1000,1050.301198
99040.604859,1000,1055.951628
77171.407216,1000,1060.093011
102440.08058,1000,1067.12507
81842.726288,1000,1071.765962
92167.798373,1000,1077.61649
113798.216721,1000,1082.153138
83675.884741,1000,1087.877397
107469.659709,1000,1092.808979
118546.157309,1000,1099.057153
108809.891543,1000,1105.121682
102210.097342,1000,1113.050027
110106.359056,1000,1117.399848
128265.338269,1000,1124.534955
117215.193964,1000,1128.789588
137602.442153,1000,1136.642246
124192.999441,1000,1141.413154
104418.318123,1000,1148.956096
130598.993583,1000,1152.484041
93181.947273,1000,1160.947989
113437.437627,1000,1165.485631
104792.13401,1000,1172.332181
134334.75689,1000,1177.303937
102769.340253,1000,1184.496495
94106.724646,1000,1188.704462
105827.896137,1000,1196.166391
116537.117826,1000,1201.123967
101996.78107,1000,1207.118395
129706.968865,1000,1211.465706
70369.599668,1000,1215.456272
108826.471639,1000,1222.528703
99144.520977,1000,1227.211335
114506.8404,1000,1233.324227
73800.587258,1000,1237.4024
80492.550119,1000,1243.27726
116053.082483,1000,1247.801825
84859.243474,1000,1254.621562
109818.007891,1000,1258.384278
108833.596598,1000,1265.73312
115314.323459,1000,1270.268195
108205.416196,1000,1276.024124
96480.993336,1000,1279.929446
114900.547099,1000,1287.284294
111790.550842,1000,1291.127775
111316.582011,1000,1297.639216
95664.058711,1000,1301.732728
135192.549575,1000,1308.133045
78387.22255,1000,1312.146868
121510.719423,1000,1319.22618
136639.505207,1000,1324.030534
111047.008604,1000,1329.534278
122877.765368,1000,1333.402773
136959.931004,1000,1340.543059
145418.284843,1000,1345.666336
142851.999566,1000,1354.500218
142383.98429,1000,1359.700527
105892.300874,1000,1366.568201
122665.242144,1000,1370.509003
133737.577017,1000,1378.298637
124381.608359,1000,1383.109519
134535.232307,1000,1390.084027
122560.975048,1000,1394.760431
141222.420326,1000,1400.501584
137949.665882,1000,1404.930395
149934.094172,1000,1411.293985
144607.811842,1000,1415.199743
123285.859479,1000,1422.148026
110184.774584,1000,1426.834819
131593.15332,1000,1432.830467
103928.758573,1000,1437.0139
148362.639662,1000,1441.724882
126327.973271,1000,1448.507739
140381.083579,1000,1453.053123
126977.465902,1000,1458.664552
136023.168109,1000,1462.80453
152762.58216,1000,1469.650948
107935.892631,1000,1473.608742
129345.099668,1000,1481.122609
92641.459117,1000,1485.249924
136939.657506,1000,1491.601931
152009.68099,1000,1496.286411
78644.742092,1000,1501.64746
141154.390399,1000,1505.809959
150012.384728,1000,1512.87844
107834.789628,1000,1516.478075
139425.001845,1000,1523.12078
152899.217316,1000,1527.807316
115908.545251,1000,1533.493366
133462.707898,1000,1538.439113
117915.165768,1000,1544.761878
144561.995142,1000,1548.50305
126632.342037,1000,1554.58346
130305.875208,1000,1558.61465
104794.166141,1000,1565.186606
118997.162078,1000,1569.36452
147104.063962,1000,1576.720023
152471.180656,1000,1581.1731
149819.148989,1000,1586.982286
132792.058585,1000,1590.752317
149134.14663,1000,1598.343673
150114.993551,1000,1602.167857
96608.939515,1000,1610.149061
132103.977477,1000,1614.920091
117422.508045,1000,1622.232719
153110.311419,1000,1626.70901
122990.982433,1000,1632.941612
152075.531095,1000,1636.989152
154337.827918,1000,1643.623428
109250.063221,1000,1647.67845
123113.973459,1000,1654.32224
150934.43807,1000,1659.005778
153381.335103,1000,1665.407884
99293.76772,1000,1670.521369
119519.475103,1000,1674.818717
152009.136071,1000,1680.710347
154158.314721,1000,1685.215015
127703.402658,1000,1692.601734
149772.300419,1000,1697.972651
153704.141958,1000,1705.625686
127981.817102,1000,1710.541643
153181.658301,1000,1717.953861
153231.356658,1000,1722.427723
152082.702071,1000,1729.378163
154082.145477,1000,1733.915454
142041.7766,1000,1740.900469
122750.813072,1000,1745.83457
152996.000854,1000,1752.149841
139725.37646,1000,1756.38467
138595.295626,1000,1762.808985
150879.901641,1000,1766.510865
149006.42368,1000,1773.362018
155316.294207,1000,1778.137645
152953.370218,1000,1784.09446
153329.990385,1000,1788.759243
110339.864902,1000,1795.465136
155878.464143,1000,1799.951218
131012.148261,1000,1805.900977
151169.32374,1000,1810.250039
153647.1684,1000,1816.726066
152354.719062,1000,1820.943167
149343.079858,1000,1829.036932
155685.973656,1000,1834.088434
145602.368994,1000,1840.054025
142248.544853,1000,1844.429263
148968.030517,1000,1851.961655
154346.520951,1000,1857.19895
149173.810309,1000,1863.891672
153859.040446,1000,1868.288742
150644.306125,1000,1875.286669
142754.531692,1000,1879.39569
149893.264731,1000,1886.75609
154852.7347,1000,1891.000793
150670.405112,1000,1897.842563
158307.327978,1000,1902.331775
135466.658803,1000,1909.11318
151114.363411,1000,1913.979817
137440.461121,1000,1918.013298
134305.945982,1000,1925.081581
154444.731556,1000,1929.893239
154116.39877,1000,1936.070019
156460.892042,1000,1941.405254
147861.517317,1000,1947.144914
